epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.53833,1.01241,2.22731,1.42284,0.00351,0.34641,0.21875,0.15088,1.81884,3.27467,2.77751,0.07129,0.00029,0.00029
2,10.2522,0.82008,1.00504,1.25791,0.63297,0.30065,0.34284,0.24583,1.41324,2.62679,1.73302,0.0415899,0.000589856,0.000589856
3,13.9387,0.86629,0.896,1.28184,0.75981,0.5817,0.67146,0.38043,1.34466,1.64656,1.73264,0.0118891,0.000889131,0.000889131
4,17.7096,0.81715,0.83562,1.25097,0.6408,0.81699,0.79525,0.42304,1.39162,1.43558,1.76443,0.000997803,0.000997803,0.000997803
5,21.4922,0.80921,0.79045,1.22602,0.87851,0.80345,0.89946,0.65993,0.95258,0.9241,1.35648,0.000996097,0.000996097,0.000996097
6,25.1629,0.77478,0.74118,1.19021,0.93135,0.88678,0.93112,0.68121,0.97948,0.82549,1.39472,0.000993906,0.000993906,0.000993906
7,28.7148,0.75114,0.68093,1.18425,0.85624,0.8366,0.87778,0.60685,1.11555,1.08243,1.4501,0.000991232,0.000991232,0.000991232
8,32.4472,0.76084,0.67391,1.20538,0.67054,0.84967,0.79052,0.57736,0.98107,1.23184,1.32269,0.000988079,0.000988079,0.000988079
9,36.1993,0.77143,0.68426,1.18532,0.69426,0.80146,0.80857,0.57065,1.02622,1.12326,1.51484,0.000984449,0.000984449,0.000984449
10,39.8141,0.73995,0.63115,1.19813,0.83486,0.69935,0.79103,0.60581,0.99322,1.179,1.38214,0.000980345,0.000980345,0.000980345
11,43.3375,0.72748,0.61015,1.18315,0.8612,0.78431,0.88188,0.63817,1.01084,1.11965,1.35983,0.000975773,0.000975773,0.000975773
12,46.8976,0.73525,0.65629,1.19762,0.83807,0.86928,0.8956,0.68253,0.86134,0.73396,1.2358,0.000970736,0.000970736,0.000970736
13,50.4696,0.70793,0.60543,1.15209,0.88084,0.82139,0.9094,0.69756,0.92156,0.82976,1.30902,0.000965239,0.000965239,0.000965239
